level,cb_code,cb_title,omop_concept_id,omop_name,omop_vocab,match
component,bupropion,Bupropion,750982,bupropion,RxNorm,auto
component,cadonilimab,Cadonilimab,37561559,Cadonilimab,HemOnc,auto
component,capecitabine,Capecitabine,1337620,capecitabine,RxNorm,auto
component,capisertib,Capisertib,747200,capivasertib,RxNorm,curated
component,capivasertib,Capivasertib,747200,capivasertib,RxNorm,auto
component,carbamazepine,Carbamazepine,740275,carbamazepine,RxNorm,auto
component,carboplatin,Carboplatin,1344905,carboplatin,RxNorm,auto
component,carfilzomib,Carfilzomib,42873638,carfilzomib,RxNorm,auto
component,catumaxomab,Catumaxomab,35802946,Catumaxomab,HemOnc,auto
component,chemotherapy,Chemotherapy,,,,no_omop
component,cilta_cel,Cilta-cel,779144,ciltacabtagene autoleucel,RxNorm,curated
component,ciltacabtagene_autoleucel,Ciltacabtagene autoleucel (Carvykti),779144,ciltacabtagene autoleucel,RxNorm,auto
component,ciltacabtagene_autoleucel_(carvykti),Ciltacabtagene autoleucel (Carvykti),779144,ciltacabtagene autoleucel,RxNorm,auto
component,ciprofloxacin,Ciprofloxacin,1797513,ciprofloxacin,RxNorm,auto
component,cisplatin,Cisplatin,1397599,cisplatin,RxNorm,auto
component,clarithromycin,Clarithromycin,1750500,clarithromycin,RxNorm,auto
component,copanlisib,Copanlisib,792499,copanlisib,RxNorm,auto
component,cyclophosphamide,Cyclophosphamide,1310317,cyclophosphamide,RxNorm,auto
component,daratumumab,Daratumumab,35605744,daratumumab,RxNorm,auto
component,denosumab,Denosumab,40222444,denosumab,RxNorm,auto
component,dexamethasone,Dexamethasone,1518254,dexamethasone,RxNorm,auto
component,docetaxel,Docetaxel,1315942,docetaxel,RxNorm,auto
component,doxorubicin,Doxorubicin,1338512,doxorubicin,RxNorm,auto
component,duvelisib,Duvelisib,35200763,duvelisib,RxNorm,auto
component,elacestrant,Elacestrant,1301646,elacestrant,RxNorm,auto
component,elotuzumab,Elotuzumab,35604032,elotuzumab,RxNorm,auto
component,elranatamab,Elranatamab (Elrexfio),746391,elranatamab,RxNorm,auto
component,entrectinib,Entrectinib,37496447,entrectinib,RxNorm,auto
component,eribulin,Eribulin,40230712,eribulin,RxNorm,auto
component,erythromycin,Erythromycin,1746940,erythromycin,RxNorm,auto
component,esa,Erythropoiesis-Stimulating Agent (ESA),43009086,erythropoietin,RxNorm Extension,curated
component,esas,Erythropoiesis-Stimulating Agents (ESAs),,,,no_omop
component,estrogen,Estrogen,19049228,estrogens,RxNorm,curated
component,everolimus,Everolimus,19011440,everolimus,RxNorm,auto
component,exemestane,Exemestane,1398399,exemestane,RxNorm,auto
component,fluconazole,Fluconazole,1754994,fluconazole,RxNorm,auto
component,fluoxetine,Fluoxetine,755695,fluoxetine,RxNorm,auto
component,fluvoxamine,Fluvoxamine,751412,fluvoxamine,RxNorm,auto
component,fulvestrant,Fulvestrant,1304044,fulvestrant,RxNorm,auto
component,gemcitabine,Gemcitabine,1314924,gemcitabine,RxNorm,auto
component,genomic_testing,Genomic Testing,40758336,Genetic analysis discrete result panel,LOINC,curated
component,glofitamab,Glofitamab,1201501,glofitamab,RxNorm,auto
component,grapefruit_juice,Grapefruit juice,43533099,grapefruit juice,RxNorm,auto
component,growth_factor,Growth Factor,4077015,Hematopoietic factor,SNOMED,curated
component,herbal_supplements,Herbal supplement,4167042,,,curated
component,hiv_antiretroviral,HIV antiretroviral,37017291,,,curated
component,ibritumomab_tiuxetan,Ibritumomab tiuxetan,19068830,ibritumomab tiuxetan,RxNorm,auto
component,ide_cel,Ide-cel,36026868,idecabtagene vicleucel,RxNorm,curated
component,idecabtagene_vicleucel,Idecabtagene vicleucel (Abecma),36026868,idecabtagene vicleucel,RxNorm,auto
component,idecabtagene_vicleucel_(abecma),Idecabtagene vicleucel (Abecma),36026868,idecabtagene vicleucel,RxNorm,auto
component,idelalisib,Idelalisib,45776944,idelalisib,RxNorm,auto
component,immune_checkpoint_inhibitor,Immune Checkpoint Inhibitor,,,,no_omop
component,immunosuppressant,Immunosuppressant,4158265,,,curated
component,involved_field_radiotherapy_(ifrt),Involved-Field Radiotherapy (IFRT),35803489,External beam radiotherapy,HemOnc,curated
component,isatuximab,Isatuximab,37498969,isatuximab,RxNorm,auto
component,itraconazole,Itraconazole,1703653,itraconazole,RxNorm,auto
component,ivig,IVIG (intravenous immunoglobulin),35805783,Intravenous immunoglobulin,HemOnc,curated
component,ixazomib,Ixazomib,35606214,ixazomib,RxNorm,auto
component,ketoconazole,Ketoconazole,985708,ketoconazole,RxNorm,auto
component,lapatinib,Lapatinib,1359548,lapatinib,RxNorm,auto
component,larotrectinib,Larotrectinib,1355705,larotrectinib,RxNorm,auto
component,ldr,Low-Dose Radiotherapy,1242725,,,curated
component,lenalidomide,Lenalidomide,19026972,lenalidomide,RxNorm,auto
component,letrozole,Letrozole,1315946,letrozole,RxNorm,auto
component,lhrh_gnrh_agonists,LHRH/GnRH agonist,21603823,Gonadotropin releasing hormone analogues,ATC,curated
component,liposomal_doxorubicin,Liposomal Doxorubicin,,,,no_omop
component,lumpectomy,Lumpectomy,4275911,Partial mastectomy,SNOMED,curated
component,margetuximab,Margetuximab,739518,margetuximab,RxNorm,auto
component,mastectomy,Mastectomy,4133358,Mastectomy incision,SNOMED,curated
component,megestrol_acetate,Megestrol acetate,19072024,Megestrol acetate,RxNorm,curated
component,melphalan,Melphalan,1301267,melphalan,RxNorm,auto
component,mosunetuzumab,Mosunetuzumab,1301307,mosunetuzumab,RxNorm,auto
component,nab_paclitaxel,Nab-Paclitaxel,902729,Paclitaxel protein-bound,RxNorm Extension,curated
component,neratinib,Neratinib,793846,neratinib,RxNorm,auto
component,obinutuzumab,Obinutuzumab,44507676,obinutuzumab,RxNorm,auto
component,olaparib,Olaparib,45892579,olaparib,RxNorm,auto
component,other_chemotherapy,Other Chemotherapy,,,,no_omop
component,paclitaxel,Paclitaxel,1378382,paclitaxel,RxNorm,auto
component,palbociclib,Palbociclib,45892075,palbociclib,RxNorm,auto
component,pamidronate,Pamidronate,1511646,pamidronate,RxNorm,auto
component,panobinostat,Panobinostat (Farydak),46221435,panobinostat,RxNorm,auto
component,paroxetine,Paroxetine,722031,paroxetine,RxNorm,auto
component,parp_inhibitors,PARP Inhibitors,,,,no_omop
component,pembrolizumab,Pembrolizumab,45775965,pembrolizumab,RxNorm,auto
component,pertuzumab,Pertuzumab,42801287,pertuzumab,RxNorm,auto
component,phenobarbital,Phenobarbital,734275,phenobarbital,RxNorm,auto
component,phenytoin,Phenytoin,740910,phenytoin,RxNorm,auto
component,plasmapheresis,Plasmapheresis,4049372,Plasmapheresis,SNOMED,curated
component,platinum_based_chemotherapy,Platinum-Based Chemotherapy,,,,no_omop
component,polatuzumab_vedotin,Polatuzumab Vedotin,1396729,polatuzumab vedotin,RxNorm,auto
component,pomalidomide,Pomalidomide,43014237,pomalidomide,RxNorm,auto
component,posaconazole,Posaconazole,1704139,posaconazole,RxNorm,auto
component,prednisone,Prednisone,1551099,prednisone,RxNorm,auto
component,radiotherapy,Radiotherapy,,,,no_omop
component,ribociclib,Ribociclib,1592911,ribociclib,RxNorm,auto
component,rifabutin,Rifabutin,1777417,rifabutin,RxNorm,auto
component,rifampin,Rifampin,1763204,rifampin,RxNorm,auto
component,rituximab,Rituximab,1314273,rituximab,RxNorm,auto
component,sacituzumab_govitecan,Sacituzumab Govitecan,35803306,Sacituzumab govitecan,HemOnc,auto
component,selinexor,Selinexor,1361191,selinexor,RxNorm,auto
component,sertraline,Sertraline,739138,sertraline,RxNorm,auto
component,st._john's_wort,St. John's Wort,1398039,St. John's wort extract,RxNorm,curated
component,st._john_s_wort,St. John's Wort,,,,no_omop
component,surgery,surgery,,,,no_omop
component,talazoparib,Talazoparib,35201068,talazoparib,RxNorm,auto
component,talquetamab,Talquetamab (Talvey),746340,talquetamab,RxNorm,auto
component,tamoxifen,Tamoxifen,1436678,tamoxifen,RxNorm,auto
component,tazemetostat,Tazemetostat,37498602,tazemetostat,RxNorm,auto
component,tebentafusp,Tebentafusp,1758886,tebentafusp,RxNorm,auto
component,tecartus_(brexucabtagene_autoleucel),Tecartus (brexucabtagene autoleucel),37002369,brexucabtagene autoleucel,RxNorm,curated
component,teclistamab,Teclistamab,741578,teclistamab,RxNorm,auto
component,thalidomide,Thalidomide,19137042,thalidomide,RxNorm,auto
component,tisagenlecleucel_(kymriah),Tisagenlecleucel (Kymriah),792737,tisagenlecleucel,RxNorm,auto
component,topiramate,Topiramate,742267,topiramate,RxNorm,auto
component,trastuzumab,Trastuzumab,1387104,trastuzumab,RxNorm,auto
component,trastuzumab_deruxtecan,Trastuzumab Deruxtecan,42542260,Trastuzumab deruxtecan,HemOnc,auto
component,trastuzumab_emtansine,Trastuzumab Emtansine,35802866,Trastuzumab emtansine,HemOnc,auto
component,tucatinib,Tucatinib,1145571,tucatinib,RxNorm,auto
component,umbralisib,Umbralisib,739804,umbralisib,RxNorm,auto
component,venetoclax,Venetoclax,35604205,venetoclax,RxNorm,auto
component,vincristine,Vincristine,1308290,vincristine,RxNorm,auto
component,vinorelbine,Vinorelbine,1343346,vinorelbine,RxNorm,auto
component,voriconazole,Voriconazole,1714277,voriconazole,RxNorm,auto
component,zoledronic_acid,Zoledronic Acid,1524674,zoledronic acid,RxNorm,auto
regimen,abemaciclib,Abemaciclib (Verzenio),792649,abemaciclib,RxNorm,auto
regimen,agsct,Allogeneic Stem Cell Transplant,4143404,Allogeneic peripheral blood stem cell transplant,SNOMED,curated
regimen,alpelisib,Alpelisib,1396423,alpelisib,RxNorm,auto
regimen,alpelisib_fulvestrant,Alpelisib + Fulvestrant,35101866,Alpelisib and Fulvestrant,HemOnc,curated
regimen,anastrozole_maintenance,Anastrozole Maintenance,1348265,anastrozole,RxNorm,auto
regimen,antiviral,antiviral,4140762,Antiviral therapy,SNOMED,curated
regimen,aromatase_inhibitors,Aromatase Inhibitors,,,,no_omop
regimen,asct,Autologous Stem Cell Transplant (ASCT),4144157,Autologous peripheral blood stem cell transplant,SNOMED,curated
regimen,aspirin_gt_81mg_daily,Aspirin > 81mg daily,,,,no_omop
regimen,aspirin_lt_81mg_daily,Aspirin =< 81mg daily,,,,no_omop
regimen,atezolizumab,Atezolizumab,42629079,atezolizumab,RxNorm,auto
regimen,atezolizumab_nab_paclitaxel,Atezolizumab + Nab-Paclitaxel,35804321,nab-Paclitaxel and Atezolizumab,HemOnc,curated
regimen,axicabtagene_ciloleucel,Axicabtagene Ciloleucel (Yescarta) Monotherapy,35805074,Axicabtagene ciloleucel monotherapy,HemOnc,auto
regimen,ba,Bispecific Antibodies,,,,no_omop
regimen,belantamab_mafodotin,Belantamab Mafodotin (Blenrep) Monotherapy,911956,Belantamab mafodotin monotherapy,HemOnc,auto
regimen,bendamustine,Bendamustine Monotherapy,35804017,Bendamustine monotherapy,HemOnc,auto
regimen,bortezomib,Bortezomib (Velcade) Monotherapy,35804520,Bortezomib monotherapy,HemOnc,auto
regimen,bortezomib_maintenance,Bortezomib (maintenance),1336825,bortezomib,RxNorm,auto
regimen,br,R-Bendamustine (BR),35804570,Bendamustine and Rituximab (BR),HemOnc,curated
regimen,bupropion,Bupropion (Wellbutrin) - antidepressant,750982,bupropion,RxNorm,auto
regimen,capecitabine,Capecitabine,1337620,capecitabine,RxNorm,auto
regimen,capisertib,Capisertib,,,,no_omop
regimen,capivasertib,Capivasertib,747200,capivasertib,RxNorm,auto
regimen,capivasertib_fulvestrant,Capivasertib + Fulvestrant,37557718,Capivasertib and Fulvestrant,HemOnc,curated
regimen,car_t,CAR-T Cell Therapy,,,,no_omop
regimen,carbamazepine,Carbamazepine (Tegretol) - anticonvulsant,740275,carbamazepine,RxNorm,auto
regimen,carboplatin,Carboplatin,1344905,carboplatin,RxNorm,auto
regimen,carfilzomib,Carfilzomib (Kyprolis) Monotherapy,35806280,Carfilzomib monotherapy,HemOnc,auto
regimen,chemotherapy,Chemotherapy,35803401,Chemotherapy,HemOnc,auto
regimen,chronic_opioid_therapy,Chronic opioid therapy,45571391,Long term (current) use of opiate analgesic,ICD10CM,curated
regimen,cilta_cel,Cilta-cel (Carvykti) Monotherapy,1525038,Ciltacabtagene autoleucel monotherapy,HemOnc,curated
regimen,ciprofloxacin,Ciprofloxacin (Cipro) - antibiotic,1797513,ciprofloxacin,RxNorm,auto
regimen,cisplatin,Cisplatin,1397599,cisplatin,RxNorm,auto
regimen,clarithromycin,Clarithromycin (Biaxin) - antibiotic,1750500,clarithromycin,RxNorm,auto
regimen,clinical_trials,Clinical Trials,4090378,Clinical drug trial,SNOMED,curated
regimen,contraceptives,contraceptives (Estrogen-containing medication),21602472,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,ATC,curated
regimen,copanlisib,Copanlisib (Aliqopa) Monotherapy,35805647,Copanlisib monotherapy,HemOnc,auto
regimen,cy_bor_d,CyBorD,35806061,VDC,HemOnc,curated
regimen,cyclophosphamide,Cyclophosphamide Monotherapy,35803690,Cyclophosphamide monotherapy,HemOnc,auto
regimen,cyclophosphamide_or_melphalan,Cyclophosphamide or Melphalan Monotherapy,,,,no_omop
regimen,dara_rd,Dara-Rd,35806311,Dara-Rd,HemOnc,auto
regimen,dara_vrd,Dara-VRd,911993,Dara-RVd,HemOnc,curated
regimen,daratumumab,Daratumumab (Darzalex/Darzalex Faspro) Monotherapy,35806063,Daratumumab monotherapy,HemOnc,auto
regimen,denosumab,Denosumab (Xgeva),40222444,denosumab,RxNorm,auto
regimen,docetaxel,Docetaxel,1315942,docetaxel,RxNorm,auto
regimen,duvelisib,Duvelisib (Copiktra) Monotherapy,35804603,Duvelisib monotherapy,HemOnc,auto
regimen,elacestrant,Elacestrant,1301646,elacestrant,RxNorm,auto
regimen,elotuzumab,Elotuzumab (Empliciti) Monotherapy,35604032,elotuzumab,RxNorm,auto
regimen,entrectinib,Entrectinib,37496447,entrectinib,RxNorm,auto
regimen,epd,EPd,35806313,Elo-Pd,HemOnc,curated
regimen,eribulin,Eribulin,40230712,eribulin,RxNorm,auto
regimen,erythromycin,Erythromycin - antibiotic,1746940,erythromycin,RxNorm,auto
regimen,esa,Erythropoiesis-Stimulating Agent (ESA),4333784,Erythropoiesis-stimulating Agent,NDFRT,curated
regimen,exemestane_everolimus,Exemestane + Everolimus,35804295,Everolimus and Exemestane,HemOnc,curated
regimen,exemestane_maintenance,Exemestane Maintenance,1398399,exemestane,RxNorm,auto
regimen,fluconazole,Fluconazole (Diflucan) - antifungal,1754994,fluconazole,RxNorm,auto
regimen,fluoxetine,Fluoxetine (Prozac) - antidepressant,755695,fluoxetine,RxNorm,auto
regimen,fluvoxamine,Fluvoxamine (Luvox) - antidepressant,751412,fluvoxamine,RxNorm,auto
regimen,fulvestrant,Fulvestrant,1304044,fulvestrant,RxNorm,auto
regimen,g_csf,Granulocyte-Colony Stimulating factor (G-CSFs),35807374,Granulocyte colony-stimulating factor,HemOnc,curated
regimen,gemcitabine,Gemcitabine,1314924,gemcitabine,RxNorm,auto
regimen,genomic_testing,Genomic Testing,4233623,Molecular genetic test,SNOMED,curated
regimen,gm_csf,Granulocyteâ€“Macrophage Colony-Stimulating Factor (GM-CSF),35807436,Granulocyte macrophage colony-stimulating factor,HemOnc,curated
regimen,grapefruit_juice,Grapefruit juice,43533099,grapefruit juice,RxNorm,auto
regimen,hdc_asct,High-Dose Chemotherapy with Autologous Stem Cell Transplant (ASCT),37152106,High-dose chemotherapy with stem cell transplant,SNOMED,curated
regimen,heparin_anticoagulant,heparin - anticoagulant,1367571,heparin,RxNorm,auto
regimen,her2_targeted_therapies,HER2-targeted therapies,,,,no_omop
regimen,herbal_supplements,"Herbal supplements (e.g., echinacea, ginseng, ginkgo biloba, high-dose turmeric)",4225636,Herbal medicine,SNOMED,curated
regimen,hiv_antiretroviral_therapy,HIV antiretroviral therapy,4166414,Highly active antiretroviral therapy,SNOMED,curated
regimen,hormonal_therapy,Hormonal therapy,,,,no_omop
regimen,hrt,HRT (Estrogen-containing medication),3170208,Estrogen replacement therapy,Nebraska Lexicon,curated
regimen,ibritumomab_tiuxetan_radioimmunotherapy,Ibritumomab tiuxetan radioimmunotherapy,35805030,Ibritumomab tiuxetan protocol,HemOnc,curated
regimen,ide_cel,Ide-cel (Abecma) Monotherapy,905696,Idecabtagene vicleucel monotherapy,HemOnc,curated
regimen,idelalisib,Idelalisib (Zydelig) Monotherapy,35804613,Idelalisib monotherapy,HemOnc,auto
regimen,ifrt,Involved-Field Radiotherapy (IFRT),46233522,External beam radiotherapy,OPCS4,curated
regimen,immune_checkpoint_inhibitors,Immune Checkpoint Inhibitors,,,,no_omop
regimen,immunoglobulin_replacement_therapy,Immunoglobulin replacement therapy,,,,no_omop
regimen,immunosuppressant,Immunosuppressant,45768802,Immunosuppressant drug therapy,SNOMED,curated
regimen,inhaled_corticosteroids,Inhaled corticosteroids,,,,no_omop
regimen,intranasal_corticosteroids,Intranasal corticosteroid,37154565,Intranasal steroid therapy,SNOMED,curated
regimen,isa_krd,Isa-KRd,,,,no_omop
regimen,isa_vrd,Isa-VRd,37557069,Isa-RVd,HemOnc,curated
regimen,isatuximab,Isatuximab (Sarclisa) Monotherapy,37498969,isatuximab,RxNorm,auto
regimen,itraconazole,Itraconazole (Sporanox) - antifungal,1703653,itraconazole,RxNorm,auto
regimen,ivig,IVIG (intravenous immunoglobulin),35805914,Intravenous immunoglobulin monotherapy,HemOnc,curated
regimen,ixazomib,Ixazomib (Ninlaro),35606214,ixazomib,RxNorm,auto
regimen,ixazomib_maintenance,Ixazomib (maintenance),35606214,ixazomib,RxNorm,auto
regimen,ketoconazole,Ketoconazole - antifungal,985708,ketoconazole,RxNorm,auto
regimen,kpd,KPd,35806324,KPD,HemOnc,auto
regimen,krd,KRd,35806284,KRd,HemOnc,auto
regimen,lapatinib,Lapatinib,1359548,lapatinib,RxNorm,auto
regimen,larotrectinib,Larotrectinib,1355705,larotrectinib,RxNorm,auto
regimen,lbr,Lenalidomide-Based Regimens,,,,no_omop
regimen,ldr,Low-Dose Radiotherapy,35803411,Radiotherapy,HemOnc,curated
regimen,lenalidomide,Lenalidomide (Revlimid) Monotherapy,35803596,Lenalidomide monotherapy,HemOnc,auto
regimen,lenalidomide_maintenance,Lenalidomide maintenance,19026972,lenalidomide,RxNorm,auto
regimen,letrozole_maintenance,Letrozole Maintenance,1315946,letrozole,RxNorm,auto
regimen,lhrh_gnrh_agonists,"LHRH/GnRH agonists (e.g., goserelin, leuprolide, triptorelin, buserelin)",4161584,Ovarian ablation by luteinizing hormone releasing hormone analog,SNOMED,curated
regimen,local_palliative_radiotherapy,Local palliative radiotherapy,4057754,Palliative course of radiotherapy,SNOMED,curated
regimen,lr,Lenalidomide (Revlimid) + Rituximab (R2),35804591,Lenalidomide and Rituximab (R2),HemOnc,curated
regimen,lumpectomy,Lumpectomy,4213045,Lumpectomy of breast,SNOMED,curated
regimen,margetuximab,Margetuximab,739518,margetuximab,RxNorm,auto
regimen,mastectomy,Mastectomy,4066543,Simple mastectomy,SNOMED,curated
regimen,megestrol_acetate,Megestrol acetate,1300978,megestrol,RxNorm,curated
regimen,mineralocorticoids,"mineralocorticoids (e.g., fludrocortisone)",21602724,Mineralocorticoids,ATC,curated
regimen,neratinib,Neratinib,793846,neratinib,RxNorm,auto
regimen,nsaids,NSAIDs,,,,no_omop
regimen,obinutuzumab,Obinutuzumab (Gazyva) Monotherapy,35804583,Obinutuzumab monotherapy,HemOnc,auto
regimen,obr,Obinutuzumab-Based Regimens,,,,no_omop
regimen,olaparib,Olaparib,45892579,olaparib,RxNorm,auto
regimen,other_chemotherapy,Other Chemotherapy,,,,no_omop
regimen,paclitaxel,Paclitaxel,1378382,paclitaxel,RxNorm,auto
regimen,palbociclib,Palbociclib (Ibrance),45892075,palbociclib,RxNorm,auto
regimen,pamidronate,Pamidronate,1511646,pamidronate,RxNorm,auto
regimen,paroxetine,Paroxetine (Paxil) - antidepressant,722031,paroxetine,RxNorm,auto
regimen,parp_inhibitors,PARP Inhibitors,,,,no_omop
regimen,pembrolizumab_chemotherapy,Pembrolizumab + Chemotherapy,905657,Carboplatin and Gemcitabine (GCb) and Pembrolizumab,HemOnc,curated
regimen,pertuzumab,Pertuzumab,42801287,pertuzumab,RxNorm,auto
regimen,phenobarbital,Phenobarbital - anticonvulsant,734275,phenobarbital,RxNorm,auto
regimen,phenytoin,Phenytoin (Dilantin) - anticonvulsant,740910,phenytoin,RxNorm,auto
regimen,pi3k,PI3K Inhibitors,,,,no_omop
regimen,plasmapheresis,Plasmapheresis,4076662,Therapeutic plasma exchange,SNOMED,curated
regimen,platinum_based_chemotherapy,Platinum-Based Chemotherapy,,,,no_omop
regimen,polatuzumab_vedotin,Polatuzumab Vedotin Monotherapy,1396729,polatuzumab vedotin,RxNorm,auto
regimen,pomalidomide,Pomalidomide (Pomalyst) Monotherapy,35806317,Pomalidomide monotherapy,HemOnc,auto
regimen,posaconazole,Posaconazole (Noxafil) - antifungal,1704139,posaconazole,RxNorm,auto
regimen,r_chop,R-CHOP,35805028,R-CHOP,HemOnc,auto
regimen,r_cvp,R-CVP,35805630,R-CVP,HemOnc,auto
regimen,radiotherapy,Radiotherapy,,,,no_omop
regimen,ribociclib,Ribociclib (Kisqali),1592911,ribociclib,RxNorm,auto
regimen,rifabutin,Rifabutin (Mycobutin) - antibiotic,1777417,rifabutin,RxNorm,auto
regimen,rifampin,"Rifampin (Rifadin, Rimactane) - antibiotic",1763204,rifampin,RxNorm,auto
regimen,rituximab,Rituximab (Rituxan) Monotherapy,35803432,Rituximab monotherapy,HemOnc,auto
regimen,rituximab_maintenance_therapy,Rituximab (Rituxan) Monotherapy,35803432,Rituximab monotherapy,HemOnc,curated
regimen,rm,Rituximab Monotherapy,35803432,Rituximab monotherapy,HemOnc,auto
regimen,rm_rt,Rituximab Maintenance or Re-Treatment,,,,no_omop
regimen,sacituzumab_govitecan,Sacituzumab Govitecan,35803306,Sacituzumab govitecan,HemOnc,auto
regimen,selinexor,Selinexor (Xpovio),1361191,selinexor,RxNorm,auto
regimen,sertraline,Sertraline (Zoloft) - antidepressant,739138,sertraline,RxNorm,auto
regimen,st_john_s_wort,St. John's Wort,43636734,ST. JOHN'S WORT EXTRACT 1000 MG/ML [Abt Strabo Beruhigungs- Und Gleichgewichtstee],RxNorm Extension,curated
regimen,surgery,surgery,,,,no_omop
regimen,svd,SVd,905768,SVd,HemOnc,auto
regimen,systemic_corticosteroids_gt_10_mg_day,"systemic corticosteroids (e.g., prednisone) > 10 mg/day",,,,no_omop
regimen,systemic_corticosteroids_gt_20_mg_day,"systemic corticosteroids (e.g., prednisone) > 20 mg/day",,,,no_omop
regimen,systemic_corticosteroids_gt_5_mg_day,"systemic corticosteroids (e.g., prednisone) > 5 mg/day",,,,no_omop
regimen,systemic_corticosteroids_lt_5_mg_day,"systemic corticosteroids (e.g., prednisone) =< 5 mg/day",,,,no_omop
regimen,talazoparib,Talazoparib,35201068,talazoparib,RxNorm,auto
regimen,tamoxifen,Tamoxifen,1436678,tamoxifen,RxNorm,auto
